Stage,Category,Level,Items
Stage 1.5,Tailoring,Level 1,Padded Chair
Stage 1.5,Tailoring,Level 1,Rug Small
Stage 1.5,Tailoring,Level 2,Weave Small Cotton Bunting Red
Stage 1.5,Tailoring,Level 2,Weave Large Cotton Bunting Red
Stage 1.5,Tailoring,Level 2,Large Cotton Bunting Red
Stage 1.5,Tailoring,Level 2,Large Nylon Bunting Red
Stage 1.5,Tailoring,Level 2,Small Cotton Bunting Red
Stage 1.5,Tailoring,Level 2,Small Nylon Bunting Red
Stage 1.5,Tailoring,Level 3,Nylon Futon Couch
Stage 1.5,Tailoring,Level 3,Couch
Stage 1.5,Tailoring,Level 3,Rug Medium
Stage 1.5,Tailoring,Level 3,Small Bath Mat
Stage 1.5,Tailoring,Level 3,Washboard
Stage 1.5,Tailoring,Level 6,Nylon Futon Bed
Stage 1.5,Tailoring,Level 6,Cast Iron Bed
Stage 1.5,Tailoring,Level 6,Weave Large Bath Mat
Stage 1.5,Tailoring,Level 6,Large Bath Mat
Stage 1.5,Tailoring,Level 6,Rug Large
Stage 1.5,Tailoring,Level 6,Weave Small Bath Mat
Stage 1.5,Tailoring,Level 6,Upholstered Chair
Stage 1.5,Tailoring,Level 6,Upholstered Couch
Stage 1.5,Tailoring,Level 7,Cast Iron Royal Bed
Stage 2,Pottery,Level 1,Bakery Oven
Stage 2,Pottery,Level 2,Round Pot
Stage 2,Pottery,Level 2,Square Pot
Stage 2,Pottery,Level 3,Brick Fireplace
Stage 2,Pottery,Level 4,Small Sink
Stage 2,Pottery,Level 4,Toilet
Stage 2,Pottery,Level 7,Bathtub
Stage 2,Mechanics,Level 4,Sink
Stage 2,Mechanics,Level 5,Stove
Stage 2,Glassworking,Level 1,Orange Vase
Stage 2,Glassworking,Level 1,Galaxy Vase
Stage 2,Glassworking,Level 1,Plant Vase
Stage 2,Glassworking,Level 1,Swirl Vase
Stage 2,Glassworking,Level 1,Purple Vase
Stage 2,Glassworking,Level 1,Red Vase
Stage 2,Glassworking,Level 2,Decrotive Glass Bouy
Stage 3,Advanced Masonry,Level 1,Ashlar Stone Chair
Stage 3,Advanced Masonry,Level 2,Ashlar Stone Table
Stage 3,Advanced Masonry,Level 4,Ashlar Stone Bench
Stage 3,Advanced Masonry,Level 4,Ashlar Large Stone Fountain
Stage 3,Advanced Masonry,Level 4,Ashlar Small Stone Fountain
Stage 3,Advanced Masonry,Level 5,Adorned Ashlar Stone Chair
Stage 3,Advanced Masonry,Level 6,Adorned Ashlar Stone Table
Stage 3,Advanced Masonry,Level 6,Adorned Ashlar Stone Fireplace
Stage 3,Advanced Masonry,Level 7,Adorned Ashlar Stone Bench
Stage 3,Composites,Level 1,Composite Lumber Chair
Stage 3,Composites,Level 3,Composite Lumber Table
Stage 3,Composites,Level 3,Composite Lumber Bench
Stage 3,Electronics,Level 1,Electric Wall Lamp
Stage 3,Electronics,Level 1,Steel Ceiling Lamp
Stage 3,Electronics,Level 2,Steel Table Lamp
Stage 3,Electronics,Level 3,Steel Square Fixture
Stage 3,Electronics,Level 3,Steel Kitchen Lamp
Stage 3,Electronics,Level 4,Steel Hanging Fixture
Stage 3,Electronics,Level 4,Steel Hanging Lamp
Stage 3,Electronics,Level 4,Steel Abstract Fixture
Stage 3,Electronics,Level 5,Modern Double Street Lamp
Stage 3,Electronics,Level 5,Modern Street Lamp
Stage 3,Electronics,Level 5,Street Lamp
Stage 3,Industry,Level 3,Washing Machine
Stage 3,Industry,Level 4,Refrigerator
